year,state,state_po,state_fips,state_cen,state_ic,candidate_id,candidate_ballot_name,candidate_display,party_simplified,candidatevotes,totalvotes,vote_share,writein,source_row_count
1976,NEW JERSEY,NJ,34,22,12.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,1444653,3014472,0.4792391503387658,False,1
1976,NEW JERSEY,NJ,34,22,12.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,32717,3014472,0.010853310297790127,False,1
1976,NEW JERSEY,NJ,34,22,12.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,9449,3014472,0.003134545618602528,False,1
1976,NEW JERSEY,NJ,34,22,12.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,7716,3014472,0.0025596522376057896,False,1
1976,NEW JERSEY,NJ,34,22,12.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,3686,3014472,0.0012227680336722318,False,1
1976,NEW JERSEY,NJ,34,22,12.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,1662,3014472,0.0005513403342276857,False,1
1976,NEW JERSEY,NJ,34,22,12.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,1650,3014472,0.0005473595375906626,False,1
1976,NEW JERSEY,NJ,34,22,12.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,1184,3014472,0.0003927719348529361,False,1
1976,NEW JERSEY,NJ,34,22,12.0,margaret-wright,"WRIGHT, MARGARET",Margaret Wright,OTHER,1044,3014472,0.0003463293074210011,False,1
1976,NEW JERSEY,NJ,34,22,12.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,554,3014472,0.00018378011140922856,False,1
1976,NEW JERSEY,NJ,34,22,12.0,frank-zeidler,"ZEIDLER, FRANK",Frank Zeidler,OTHER,469,3014472,0.0001555828018969823,False,1
1976,NEW MEXICO,NM,35,85,66.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,211419,416590,0.5074989798122854,False,1
1976,NEW MEXICO,NM,35,85,66.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,201148,416590,0.4828440433039679,False,1
1976,NEW MEXICO,NM,35,85,66.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,2462,416590,0.005909887419285148,False,1
1976,NEW MEXICO,NM,35,85,66.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,1110,416590,0.0026644902662089826,False,1
1976,NEW MEXICO,NM,35,85,66.0,frank-zeidler,"ZEIDLER, FRANK",Frank Zeidler,OTHER,240,416590,0.0005761060035046449,False,1
1976,NEW MEXICO,NM,35,85,66.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,211,416590,0.0005064931947478336,False,1
1976,NEVADA,NV,32,88,65.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,101273,201876,0.5016594345043492,False,1
1976,NEVADA,NV,32,88,65.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,92479,201876,0.4580980403812241,False,1
1976,NEVADA,NV,32,88,65.0,other,OTHER,Other,OTHER,5108,201876,0.025302661039449958,False,1
1976,NEVADA,NV,32,88,65.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,1519,201876,0.00752442093166102,False,1
1976,NEVADA,NV,32,88,65.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,1497,201876,0.007415443143315699,False,1
1976,NEW YORK,NY,36,21,13.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,3244165,6668262,0.4865083285569763,False,1
1976,NEW YORK,NY,36,21,13.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,2825913,6668262,0.4237855381207277,False,1
1976,NEW YORK,NY,36,21,13.0,gerald-ford,"FORD, GERALD",Gerald Ford,OTHER,274878,6668262,0.04122183561473739,False,1
1976,NEW YORK,NY,36,21,13.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,OTHER,145393,6668262,0.021803732366844613,False,1
1976,NEW YORK,NY,36,21,13.0,other,OTHER,Other,OTHER,143037,6668262,0.021450416915232185,False,1
1976,NEW YORK,NY,36,21,13.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,OTHER,12197,6668262,0.0018291122934281827,False,1
1976,NEW YORK,NY,36,21,13.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,10270,6668262,0.0015401314465448418,False,1
1976,NEW YORK,NY,36,21,13.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,6996,6668262,0.0010491489386589789,False,1
1976,NEW YORK,NY,36,21,13.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,5413,6668262,0.0008117557468497788,False,1
1976,OHIO,OH,39,31,24.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,2009959,4110456,0.4889868666639419,False,1
1976,OHIO,OH,39,31,24.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,2000626,4110456,0.48671631565938184,False,1
1976,OHIO,OH,39,31,24.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,58267,4110456,0.014175312909321983,False,1
1976,OHIO,OH,39,31,24.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,15508,4110456,0.0037728174197704588,False,1
1976,OHIO,OH,39,31,24.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,8952,4110456,0.002177860558536571,False,1
1976,OHIO,OH,39,31,24.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,7817,4110456,0.0019017354765505335,False,1
1976,OHIO,OH,39,31,24.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,4833,4110456,0.0011757819570383432,False,1
1976,OHIO,OH,39,31,24.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,4364,4110456,0.0010616826940855223,False,1
1976,OHIO,OH,39,31,24.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,68,4110456,1.6543176718106214e-05,False,1
1976,OHIO,OH,39,31,24.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,62,4110456,1.5083484654743902e-05,False,1
1976,OKLAHOMA,OK,40,73,53.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,545708,1092251,0.4996177618514426,False,1
1976,OKLAHOMA,OK,40,73,53.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,532442,1092251,0.48747220190231,False,1
1976,OKLAHOMA,OK,40,73,53.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,14101,1092251,0.012910036246247428,False,1
1976,OREGON,OR,41,92,72.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,492120,1029876,0.4778439346096035,False,1
1976,OREGON,OR,41,92,72.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,490407,1029876,0.47618062757069785,False,1
1976,OREGON,OR,41,92,72.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,40207,1029876,0.03904062236618777,False,1
1976,OREGON,OR,41,92,72.0,write-in-blank,,Write-in/blank,OTHER,6107,1029876,0.005929840097254426,True,1
1976,OREGON,OR,41,92,72.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,1035,1029876,0.0010049753562564813,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,2328677,4620787,0.5039567935072532,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,2205604,4620787,0.4773221531310575,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,50584,4620787,0.010947052958727593,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,25344,4620787,0.005484779973627869,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,3009,4620787,0.0006511877738575702,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,other,OTHER,Other,OTHER,2934,4620787,0.0006349567725151582,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,2744,4620787,0.0005938382357810476,False,1
1976,PENNSYLVANIA,PA,42,23,14.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,1891,4620787,0.000409237647180015,False,1
1976,RHODE ISLAND,RI,44,15,5.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,227636,410584,0.5544200455935935,False,1
1976,RHODE ISLAND,RI,44,15,5.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,181249,410584,0.4414419461060343,False,1
1976,RHODE ISLAND,RI,44,15,5.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,715,410584,0.0017414219745533193,False,1
1976,RHODE ISLAND,RI,44,15,5.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,462,410584,0.0011252265066344525,False,1
1976,RHODE ISLAND,RI,44,15,5.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,334,410584,0.0008134754398612708,False,1
1976,RHODE ISLAND,RI,44,15,5.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,188,410584,0.0004578843793231105,False,1
1976,SOUTH CAROLINA,SC,45,57,48.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,450807,802583,0.5616951766982355,False,1
1976,SOUTH CAROLINA,SC,45,57,48.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,346149,802583,0.43129371043244125,False,1
1976,SOUTH CAROLINA,SC,45,57,48.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,2996,802583,0.0037329472465776124,False,1
1976,SOUTH CAROLINA,SC,45,57,48.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,1950,802583,0.0024296552506095945,False,1
1976,SOUTH CAROLINA,SC,45,57,48.0,write-in-blank,,Write-in/blank,OTHER,681,802583,0.000848510372135966,True,1
